Norma	Data da publicação	Norma-URL	Ementa	Arquivo-URL	tag
IS 67-001A	2017-02-18	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-001	Procedimentos para reconhecimento de Curso Básico de Perícia Médica na Aviação Civil.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-001/@@display-file/arquivo_norma/IS67-001A.pdf	
IS 67-002C	2021-10-09	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-002	Instruções para obtenção, revalidação e convalidação de um Certificado Médico Aeronáutico (CMA) e interposição de recurso.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-002/@@display-file/arquivo_norma/IS67-002C.pdf	
IS 67-003C	2016-04-23	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-003	Procedimentos para preenchimento online dos dados do Certificado Médico Aeronáutico no Sistema de Aviação Civil.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-003/@@display-file/arquivo_norma/IS67-003C.pdf	
IS 67-004B	2020-06-03	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-004	Guia médico - meios aceitáveis de cumprimento do RBAC nº 67.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-004/@@display-file/arquivo_norma/IS67-004B.pdf	
IS 67-005B	2018-03-10	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-005	Procedimentos administrativos para credenciamento e revalidação de credenciamento de médicos, clínicas e convênio com entidades.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-005/@@display-file/arquivo_norma/IS67-005B.pdf	
IS 91-001E	2017-05-27	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-001	Aprovação operacional de navegação baseada em desempenho (PBN).	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-001/@@display-file/arquivo_norma/IS91-001E.pdf	
IS 91-002D	2019-06-29	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-002	Uso de informação aeronáutica em formato digital - Electronic Flight Bag (EFB).	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-002/@@display-file/arquivo_norma/IS91-002D.pdf	
IS 91-003A	2015-09-19	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-003	Aprovação operacional para aproximações ILS CAT I com autorização requerida e decolagens com baixa visibilidade mediante o emprego do Head Up Guidance System (HGS).	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-003/@@display-file/arquivo_norma/IS91-003A.pdf	
IS 91-004B	2016-07-16	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-004	Instruções e procedimentos para autorização de operações de aproximação de precisão ILS categorias II e III por operadores aéreos regidos pelo RBHA 91.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-004/@@display-file/arquivo_norma/IS 91-004 Revis%C3%A3o B.pdf	
IS 91-005C	2019-06-01	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-005	Aprovação operacional para operação em espaço aéreo com separação vertical mínima reduzida (RVSM).	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-005/@@display-file/arquivo_norma/IS91-005C.pdf	
IS 91-006A	2018-05-12	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-006	Procedimentos para a aprovação de operações no Espaço Aéreo NAT – HLA (North Atlantic High Level Airspace).	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-006/@@display-file/arquivo_norma/IS 91-006A.pdf	
IS 91-007C	2021-12-18	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-007	Processo de autorização de empresas de serviço aéreo público especializado.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-007/@@display-file/arquivo_norma/IS91-007C.pdf	
IS 91-008B	2021-09-18	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-008	Procedimentos para realização de evento aeronáutico.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-008/@@display-file/arquivo_norma/IS91-008B.pdf	
IS 91-009A	2020-11-28	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-009	Procedimentos para autorização de operadores aéreos para uso de dados de desempenho específicos para pistas com pavimento antiderrapante.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-009/@@display-file/arquivo_norma/IS91-009A.pdf	
IS 91-010A	2021-07-31	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-010	Procedimentos para autorização do uso de comunicação por enlace de dados controlador-piloto (CPDLC) e de vigilância dependente automática-contrato (ADS-C).	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-010/@@display-file/arquivo_norma/IS91-010A.pdf	
IS 91-011A	2021-08-14	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-011	Aprovação de aproximação por instrumento utilizando créditos operacionais mediante o uso de um EFVS - Enhanced Flight Vision System.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-011/@@display-file/arquivo_norma/IS91-011A.pdf	
IS 91-012A	2021-09-04	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-012	Lista de Equipamentos Mínimos (MEL) e operação com equipamentos e instrumentos inoperantes.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-012/@@display-file/arquivo_norma/IS91-012A.pdf	
IS 91-013A	2021-09-04	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-013	Processo de emissão de especificações administrativas para administradores de programa de propriedade compartilhada de aeronaves regidos pela Subparte K do RBAC nº 91.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-013/@@display-file/arquivo_norma/IS91-013A.pdf	
IS 91.21-001A	2014-10-31	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-21-001	Utilização de dispositivos eletrônicos portáteis.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-21-001/@@display-file/arquivo_norma/IS9121-001A.PDF	91.21
IS 91.319-001A	2021-06-12	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-319-001	Sobrevoo de área densamente povoada por aeronave experimental.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-319-001/@@display-file/arquivo_norma/IS91.319-001A.pdf	91.319
IS 91.403-001C	2021-07-17	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-403-001	Verificação de Aeronavegabilidade.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-403-001/@@display-file/arquivo_norma/IS91.403-001C.pdf	91.403
IS 91.409-001B	2020-09-19	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-409-001	Manutenção de aeronaves, tempo recomendado entre as revisões gerais.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-409-001/@@display-file/arquivo_norma/IS91.409-001B.pdf	91.409
IS E94-003A	2017-05-04	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-e94-003	Procedimentos para elaboração e utilização de avaliação de risco operacional para operadores de aeronaves não tripuladas.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-e94-003/@@display-file/arquivo_norma/ISE94-003A - Retificada.pdf	
IS E94.503-001B	2021-09-25	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-e94-503-001	Emissão de Certificado de Autorização de Voo Experimental para Aeronaves Remotamente Pilotadas	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-e94-503-001/@@display-file/arquivo_norma/IS E94.503-001B.pdf	94.503
IS E94-001B	2019-10-26	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-e94-001	Autorização de Projeto de Sistema de Aeronave Remotamente Pilotada - Procedimentos Gerais.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-e94-001/@@display-file/arquivo_norma/ISE94-001B.pdf	
IS E94-002A	2017-05-04	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-94-002	Autorização de Projeto de Sistema de Aeronave Remotamente Pilotada - RPAS - Requisitos Técnicos	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-94-002/@@display-file/arquivo_norma/ISE94-002A.pdf	
IS 103-001B	2018-06-09	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-103-001	Operação de veículos ultraleves e balões livres tripulados sob o RBAC nº 103.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-103-001/@@display-file/arquivo_norma/IS103-001B.pdf	
IS 103-001C	2022-01-01	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-103-001c	Operação de veículos ultraleves e balões livres tripulados sob o RBAC nº 103.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-103-001c/@@display-file/arquivo_norma/IS103-001C.pdf	
IS 107-001F	2021-03-24	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-107-001	Segurança da aviação contra atos de interferência ilícita - operador de aeródromo.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-107-001/@@display-file/arquivo_norma/IS107-001F.pdf	
IS 107-001G	2021-11-24	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-107-001g	Segurança da aviação contra atos de interferência ilícita – operador de aeródromo.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-107-001g/@@display-file/arquivo_norma/IS107-001G.pdf	
IS 108-001E	2021-07-24	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-108-001	Segurança da aviação contra atos de interferência ilícita – operador aéreo.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-108-001/@@display-file/arquivo_norma/IS108-001E.pdf	
IS 110-001A	2015-10-30	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-110-001	Processo de autorização de centros de instrução e Manual de Procedimentos do Centro de Instrução (MPCI).	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-110-001/@@display-file/arquivo_norma/IS110-001A.pdf	
